T,Key,Название,Тип системы,Категория системы,Критичность,Статус
,SCH-229948,Оффер.финбридж,WEB,prod,non-critical,Используется
,SCH-252832,ЦОД.Система хранения данных,Инфраструктура,prod,critical,Используется
,SCH-229972,1С 1С Управление микрофинансовой организацией ДС LEMON,1C,prod,non-critical,Используется
,SCH-229967,1С Бухгалтерия БИТ ФИНАНС FO,1C,prod,non-critical,Используется
,SCH-229969,1С Бухгалтерия БИТ ФИНАНС ГетПолис,1C,prod,non-critical,Используется
,SCH-229953,1С Бухгалтерия БИТ ФИНАНС ДС,1C,prod,non-critical,Используется
,SCH-253036,1С Бухгалтерия БИТ ФИНАНС Руни,1C,prod,non-critical,Используется
,SCH-229970,1С Бухгалтерия БИТ ФИНАНС УК,1C,prod,non-critical,Используется
,SCH-229966,1С Бухгалтерия БИТ ФИНАНС Эдельвейс,1C,prod,other,Используется
,SCH-252840,1С Бухгалтерия Лизинг СМАРТА,1C,prod,non-critical,Используется
,SCH-229949,1С Документооборот 2.1,1C,prod,non-critical,Используется
,SCH-229968,1С Зарплата управление персоналом FO,1C,prod,non-critical,Используется
,SCH-229950,1С Зарплата управление персоналом ДС,1C,prod,non-critical,Используется
,SCH-229964,1С Зарплата управление персоналом К24,1C,prod,non-critical,Используется
,SCH-229965,1С Зарплата управление персоналом Эдельвейс,1C,prod,non-critical,Используется
,SCH-229952,1С Корпоративный Университет,1C,prod,non-critical,Используется
,SCH-229961,1С САПОГ,1C,prod,non-critical,Используется
,SCH-258511,1С Система принятия решений CASHTOYOU,1C,prod,critical,Используется
,SCH-258549,1С Система принятия решений CREDIT2DAY,1C,prod,critical,Используется
,SCH-252979,1С Система принятия решений OCM,1C,prod,critical,Используется
,SCH-258512,1С Система принятия решений ONECLICKMONEY,1C,prod,critical,Используется
,SCH-258503,1С Система принятия решений SKORFIN,1C,prod,critical,Используется
,SCH-252978,1С Система принятия решений ДС,1C,prod,critical,Используется
,SCH-249776,1С Управление задолженностью Контроль,1C,prod,non-critical,Используется
,SCH-229951,1С Управление микрофинансовой организацией ДС,1C,prod,non-critical,Используется
